alarm_id,incident_id,timestamp,machine_id,tep_tag,alarm_type,severity,alarm_message
ALM0001_1,INC0001,2026-01-05T12:30:00,CW-101,XMEAS(21),LO,Medium,XMEAS(21) abnormal during Cooling performance issue
ALM0001_2,INC0001,2026-01-05T12:33:00,CW-101,XMEAS(21),DEV,Medium,XMEAS(21) abnormal during Cooling performance issue
ALM0002_1,INC0002,2026-04-14T06:10:00,CW-201,XMEAS(22),DEV,High,XMEAS(22) abnormal during Cooling water instability
ALM0002_2,INC0002,2026-04-14T06:13:00,CW-201,XMV(11),DEV,High,XMV(11) abnormal during Cooling water instability
ALM0002_3,INC0002,2026-04-14T06:16:00,CW-201,XMV(11),DEV,High,XMV(11) abnormal during Cooling water instability
ALM0003_1,INC0003,2026-04-02T09:30:00,F-101,XMEAS(1),HI,Medium,XMEAS(1) abnormal during Feed interruption
ALM0003_2,INC0003,2026-04-02T09:33:00,F-101,XMV(3),LL,Medium,XMV(3) abnormal during Feed interruption
ALM0004_1,INC0004,2026-03-29T05:15:00,CW-201,XMV(11),DEV,Low,XMV(11) abnormal during Condenser cooling issue
ALM0004_2,INC0004,2026-03-29T05:18:00,CW-201,XMEAS(22),LL,Low,XMEAS(22) abnormal during Condenser cooling issue
ALM0004_3,INC0004,2026-03-29T05:21:00,CW-201,XMV(11),DEV,Low,XMV(11) abnormal during Condenser cooling issue
ALM0004_4,INC0004,2026-03-29T05:24:00,CW-201,XMV(11),DEV,Low,XMV(11) abnormal during Condenser cooling issue
ALM0005_1,INC0005,2026-05-29T19:30:00,CW-101,XMEAS(21),DEV,Medium,XMEAS(21) abnormal during Cooling performance issue
ALM0005_2,INC0005,2026-05-29T19:33:00,CW-101,XMV(10),LL,Medium,XMV(10) abnormal during Cooling performance issue
ALM0005_3,INC0005,2026-05-29T19:36:00,CW-101,XMEAS(21),HI,Medium,XMEAS(21) abnormal during Cooling performance issue
ALM0005_4,INC0005,2026-05-29T19:39:00,CW-101,XMV(10),HH,Medium,XMV(10) abnormal during Cooling performance issue
ALM0006_1,INC0006,2026-05-02T22:10:00,F-104,XMEAS(4),HI,Medium,XMEAS(4) abnormal during Feed pressure interruption
ALM0006_2,INC0006,2026-05-02T22:13:00,F-104,XMEAS(6),HI,Medium,XMEAS(6) abnormal during Feed pressure interruption
ALM0007_1,INC0007,2026-04-26T04:30:00,F-101,XMV(3),LO,Critical,XMV(3) abnormal during Feed quality disturbance
ALM0007_2,INC0007,2026-04-26T04:33:00,F-101,XMV(3),LO,Critical,XMV(3) abnormal during Feed quality disturbance
ALM0007_3,INC0007,2026-04-26T04:36:00,F-101,XMV(3),LL,Critical,XMV(3) abnormal during Feed quality disturbance
ALM0007_4,INC0007,2026-04-26T04:39:00,F-101,XMEAS(1),HI,Critical,XMEAS(1) abnormal during Feed quality disturbance
ALM0008_1,INC0008,2026-04-30T03:30:00,CW-101,XMEAS(21),HH,Critical,XMEAS(21) abnormal during Control valve stiction
ALM0008_2,INC0008,2026-04-30T03:33:00,CW-101,XMEAS(21),HI,Critical,XMEAS(21) abnormal during Control valve stiction
ALM0009_1,INC0009,2026-04-07T17:20:00,K-501,XMV(5),HH,Medium,XMV(5) abnormal during Unknown process disturbance
ALM0009_2,INC0009,2026-04-07T17:23:00,K-501,XMEAS(20),HH,Medium,XMEAS(20) abnormal during Unknown process disturbance
ALM0009_3,INC0009,2026-04-07T17:26:00,K-501,XMEAS(5),HI,Medium,XMEAS(5) abnormal during Unknown process disturbance
ALM0009_4,INC0009,2026-04-07T17:29:00,K-501,XMEAS(20),DEV,Medium,XMEAS(20) abnormal during Unknown process disturbance
ALM0010_1,INC0010,2026-01-27T18:10:00,T-401,XMV(9),HH,Medium,XMV(9) abnormal during Unknown process disturbance
ALM0010_2,INC0010,2026-01-27T18:13:00,T-401,XMEAS(19),LL,Medium,XMEAS(19) abnormal during Unknown process disturbance
ALM0010_3,INC0010,2026-01-27T18:16:00,T-401,XMEAS(17),HI,Medium,XMEAS(17) abnormal during Unknown process disturbance
ALM0010_4,INC0010,2026-01-27T18:19:00,T-401,XMEAS(15),LL,Medium,XMEAS(15) abnormal during Unknown process disturbance
ALM0011_1,INC0011,2026-04-17T04:30:00,CW-101,XMV(10),LO,Medium,XMV(10) abnormal during Control valve stiction
ALM0011_2,INC0011,2026-04-17T04:33:00,CW-101,XMV(10),LO,Medium,XMV(10) abnormal during Control valve stiction
ALM0011_3,INC0011,2026-04-17T04:36:00,CW-101,XMEAS(21),LL,Medium,XMEAS(21) abnormal during Control valve stiction
ALM0012_1,INC0012,2026-02-26T18:00:00,T-401,XMEAS(15),HI,Medium,XMEAS(15) abnormal during Unknown process disturbance
ALM0012_2,INC0012,2026-02-26T18:03:00,T-401,XMEAS(19),LL,Medium,XMEAS(19) abnormal during Unknown process disturbance
ALM0012_3,INC0012,2026-02-26T18:06:00,T-401,XMEAS(17),HH,Medium,XMEAS(17) abnormal during Unknown process disturbance
ALM0013_1,INC0013,2026-04-26T20:30:00,R-101,XMV(10),HH,Critical,XMV(10) abnormal during Reactor performance drift
ALM0013_2,INC0013,2026-04-26T20:33:00,R-101,XMEAS(21),LL,Critical,XMEAS(21) abnormal during Reactor performance drift
ALM0013_3,INC0013,2026-04-26T20:36:00,R-101,XMEAS(21),LO,Critical,XMEAS(21) abnormal during Reactor performance drift
ALM0013_4,INC0013,2026-04-26T20:39:00,R-101,XMV(10),LL,Critical,XMV(10) abnormal during Reactor performance drift
ALM0014_1,INC0014,2026-03-21T12:00:00,V-301,XMV(6),DEV,High,XMV(6) abnormal during Unknown process disturbance
ALM0014_2,INC0014,2026-03-21T12:03:00,V-301,XMV(6),HH,High,XMV(6) abnormal during Unknown process disturbance
ALM0014_3,INC0014,2026-03-21T12:06:00,V-301,XMV(7),DEV,High,XMV(7) abnormal during Unknown process disturbance
ALM0014_4,INC0014,2026-03-21T12:09:00,V-301,XMV(6),LL,High,XMV(6) abnormal during Unknown process disturbance
ALM0015_1,INC0015,2026-05-27T11:45:00,F-104,XMV(4),DEV,High,XMV(4) abnormal during Feed composition/feed flow imbalance
ALM0015_2,INC0015,2026-05-27T11:48:00,F-104,XMEAS(4),LL,High,XMEAS(4) abnormal during Feed composition/feed flow imbalance
ALM0015_3,INC0015,2026-05-27T11:51:00,F-104,XMEAS(4),HH,High,XMEAS(4) abnormal during Feed composition/feed flow imbalance
ALM0015_4,INC0015,2026-05-27T11:54:00,F-104,XMEAS(6),LL,High,XMEAS(6) abnormal during Feed composition/feed flow imbalance
ALM0016_1,INC0016,2026-02-13T07:45:00,CW-101,XMEAS(21),HI,Low,XMEAS(21) abnormal during Control valve stiction
ALM0016_2,INC0016,2026-02-13T07:48:00,CW-101,XMEAS(21),HI,Low,XMEAS(21) abnormal during Control valve stiction
ALM0016_3,INC0016,2026-02-13T07:51:00,CW-101,XMEAS(21),LO,Low,XMEAS(21) abnormal during Control valve stiction
ALM0017_1,INC0017,2026-02-23T11:20:00,F-104,XMEAS(4),HI,High,XMEAS(4) abnormal during Feed composition/feed flow imbalance
ALM0017_2,INC0017,2026-02-23T11:23:00,F-104,XMV(4),HH,High,XMV(4) abnormal during Feed composition/feed flow imbalance
ALM0017_3,INC0017,2026-02-23T11:26:00,F-104,XMV(4),DEV,High,XMV(4) abnormal during Feed composition/feed flow imbalance
ALM0017_4,INC0017,2026-02-23T11:29:00,F-104,XMEAS(4),DEV,High,XMEAS(4) abnormal during Feed composition/feed flow imbalance
ALM0018_1,INC0018,2026-02-16T01:10:00,K-501,XMV(5),DEV,Critical,XMV(5) abnormal during Unknown process disturbance
ALM0018_2,INC0018,2026-02-16T01:13:00,K-501,XMV(5),LL,Critical,XMV(5) abnormal during Unknown process disturbance
ALM0018_3,INC0018,2026-02-16T01:16:00,K-501,XMEAS(20),HI,Critical,XMEAS(20) abnormal during Unknown process disturbance
ALM0019_1,INC0019,2026-04-24T13:20:00,F-104,XMEAS(6),LO,Medium,XMEAS(6) abnormal during Feed temperature drift
ALM0019_2,INC0019,2026-04-24T13:23:00,F-104,XMEAS(4),LO,Medium,XMEAS(4) abnormal during Feed temperature drift
ALM0019_3,INC0019,2026-04-24T13:26:00,F-104,XMEAS(6),HI,Medium,XMEAS(6) abnormal during Feed temperature drift
ALM0020_1,INC0020,2026-02-18T18:15:00,K-501,XMEAS(5),HI,High,XMEAS(5) abnormal during Unknown process disturbance
ALM0020_2,INC0020,2026-02-18T18:18:00,K-501,XMEAS(20),LL,High,XMEAS(20) abnormal during Unknown process disturbance
ALM0020_3,INC0020,2026-02-18T18:21:00,K-501,XMEAS(5),DEV,High,XMEAS(5) abnormal during Unknown process disturbance
ALM0021_1,INC0021,2026-04-23T23:00:00,F-102,XMV(1),HI,Medium,XMV(1) abnormal during Feed temperature drift
ALM0021_2,INC0021,2026-04-23T23:03:00,F-102,XMEAS(2),HH,Medium,XMEAS(2) abnormal during Feed temperature drift
ALM0021_3,INC0021,2026-04-23T23:06:00,F-102,XMV(1),LL,Medium,XMV(1) abnormal during Feed temperature drift
ALM0022_1,INC0022,2026-03-17T04:00:00,F-104,XMV(4),LL,High,XMV(4) abnormal during Feed temperature drift
ALM0022_2,INC0022,2026-03-17T04:03:00,F-104,XMEAS(6),HI,High,XMEAS(6) abnormal during Feed temperature drift
ALM0022_3,INC0022,2026-03-17T04:06:00,F-104,XMV(4),HI,High,XMV(4) abnormal during Feed temperature drift
ALM0022_4,INC0022,2026-03-17T04:09:00,F-104,XMEAS(6),HH,High,XMEAS(6) abnormal during Feed temperature drift
ALM0023_1,INC0023,2026-02-26T12:15:00,F-101,XMEAS(1),LL,High,XMEAS(1) abnormal during Feed interruption
ALM0023_2,INC0023,2026-02-26T12:18:00,F-101,XMEAS(1),DEV,High,XMEAS(1) abnormal during Feed interruption
ALM0023_3,INC0023,2026-02-26T12:21:00,F-101,XMV(3),LL,High,XMV(3) abnormal during Feed interruption
ALM0024_1,INC0024,2026-03-11T21:00:00,T-401,XMEAS(18),HH,Medium,XMEAS(18) abnormal during Unknown process disturbance
ALM0024_2,INC0024,2026-03-11T21:03:00,T-401,XMEAS(19),HH,Medium,XMEAS(19) abnormal during Unknown process disturbance
ALM0025_1,INC0025,2026-04-30T06:05:00,F-104,XMEAS(6),LO,High,XMEAS(6) abnormal during Feed pressure interruption
ALM0025_2,INC0025,2026-04-30T06:08:00,F-104,XMEAS(6),HI,High,XMEAS(6) abnormal during Feed pressure interruption
ALM0025_3,INC0025,2026-04-30T06:11:00,F-104,XMEAS(4),DEV,High,XMEAS(4) abnormal during Feed pressure interruption
ALM0026_1,INC0026,2026-01-07T09:20:00,T-401,XMV(9),HI,Low,XMV(9) abnormal during Unknown process disturbance
ALM0026_2,INC0026,2026-01-07T09:23:00,T-401,XMEAS(18),LO,Low,XMEAS(18) abnormal during Unknown process disturbance
ALM0027_1,INC0027,2026-04-29T01:10:00,CW-101,XMV(10),HH,High,XMV(10) abnormal during Control valve stiction
ALM0027_2,INC0027,2026-04-29T01:13:00,CW-101,XMEAS(21),LL,High,XMEAS(21) abnormal during Control valve stiction
ALM0027_3,INC0027,2026-04-29T01:16:00,CW-101,XMV(10),HI,High,XMV(10) abnormal during Control valve stiction
ALM0028_1,INC0028,2026-01-06T22:20:00,CW-201,XMEAS(22),LO,Medium,XMEAS(22) abnormal during Control valve stiction
ALM0028_2,INC0028,2026-01-06T22:23:00,CW-201,XMEAS(22),DEV,Medium,XMEAS(22) abnormal during Control valve stiction
ALM0028_3,INC0028,2026-01-06T22:26:00,CW-201,XMV(11),DEV,Medium,XMV(11) abnormal during Control valve stiction
ALM0029_1,INC0029,2026-01-03T15:10:00,R-101,XMEAS(7),LO,High,XMEAS(7) abnormal during Reactor performance drift
ALM0029_2,INC0029,2026-01-03T15:13:00,R-101,XMEAS(21),HI,High,XMEAS(21) abnormal during Reactor performance drift
ALM0029_3,INC0029,2026-01-03T15:16:00,R-101,XMV(10),DEV,High,XMV(10) abnormal during Reactor performance drift
ALM0030_1,INC0030,2026-03-18T03:05:00,CW-201,XMV(11),HI,Critical,XMV(11) abnormal during Control valve stiction
ALM0030_2,INC0030,2026-03-18T03:08:00,CW-201,XMV(11),HH,Critical,XMV(11) abnormal during Control valve stiction
ALM0030_3,INC0030,2026-03-18T03:11:00,CW-201,XMEAS(22),HI,Critical,XMEAS(22) abnormal during Control valve stiction
ALM0030_4,INC0030,2026-03-18T03:14:00,CW-201,XMV(11),HI,Critical,XMV(11) abnormal during Control valve stiction
ALM0031_1,INC0031,2026-02-17T13:45:00,F-104,XMEAS(4),HH,Critical,XMEAS(4) abnormal during Feed composition/feed flow imbalance
ALM0031_2,INC0031,2026-02-17T13:48:00,F-104,XMEAS(4),DEV,Critical,XMEAS(4) abnormal during Feed composition/feed flow imbalance
ALM0032_1,INC0032,2026-03-25T22:30:00,CW-101,XMEAS(21),HH,Critical,XMEAS(21) abnormal during Cooling performance issue
ALM0032_2,INC0032,2026-03-25T22:33:00,CW-101,XMV(10),LL,Critical,XMV(10) abnormal during Cooling performance issue
ALM0033_1,INC0033,2026-03-15T02:10:00,CW-101,XMV(10),HI,High,XMV(10) abnormal during Cooling water instability
ALM0033_2,INC0033,2026-03-15T02:13:00,CW-101,XMV(10),LO,High,XMV(10) abnormal during Cooling water instability
ALM0034_1,INC0034,2026-03-02T00:45:00,CW-101,XMEAS(21),DEV,High,XMEAS(21) abnormal during Cooling performance issue
ALM0034_2,INC0034,2026-03-02T00:48:00,CW-101,XMV(10),HI,High,XMV(10) abnormal during Cooling performance issue
ALM0034_3,INC0034,2026-03-02T00:51:00,CW-101,XMEAS(21),HH,High,XMEAS(21) abnormal during Cooling performance issue
ALM0035_1,INC0035,2026-04-13T00:00:00,K-501,XMEAS(20),LL,Critical,XMEAS(20) abnormal during Unknown process disturbance
ALM0035_2,INC0035,2026-04-13T00:03:00,K-501,XMV(5),LL,Critical,XMV(5) abnormal during Unknown process disturbance
ALM0035_3,INC0035,2026-04-13T00:06:00,K-501,XMEAS(20),HH,Critical,XMEAS(20) abnormal during Unknown process disturbance
ALM0035_4,INC0035,2026-04-13T00:09:00,K-501,XMEAS(5),DEV,Critical,XMEAS(5) abnormal during Unknown process disturbance
ALM0036_1,INC0036,2026-01-13T13:15:00,CW-201,XMV(11),DEV,Critical,XMV(11) abnormal during Cooling water instability
ALM0036_2,INC0036,2026-01-13T13:18:00,CW-201,XMV(11),DEV,Critical,XMV(11) abnormal during Cooling water instability
ALM0037_1,INC0037,2026-05-08T12:10:00,F-104,XMEAS(6),LO,Medium,XMEAS(6) abnormal during Feed temperature drift
ALM0037_2,INC0037,2026-05-08T12:13:00,F-104,XMEAS(4),HI,Medium,XMEAS(4) abnormal during Feed temperature drift
ALM0037_3,INC0037,2026-05-08T12:16:00,F-104,XMEAS(4),HH,Medium,XMEAS(4) abnormal during Feed temperature drift
ALM0038_1,INC0038,2026-01-13T21:10:00,V-301,XMEAS(12),DEV,High,XMEAS(12) abnormal during Unknown process disturbance
ALM0038_2,INC0038,2026-01-13T21:13:00,V-301,XMV(6),DEV,High,XMV(6) abnormal during Unknown process disturbance
