incident_id,start_time,machine_id,machine_name,tep_fault_number,rca_category,operator_description,severity,downtime_minutes,operator_id,engineer_id,status,rca_id
INC0001,2026-01-05T12:30:00,CW-101,Reactor Cooling Water System,4,Cooling performance issue,Reactor Cooling Water System issue: temperature started rising and reactor pressure increased. Operator observed reactor cooling water inlet temp step pattern similar to TEP fault 4.,Medium,51,EMP002,EMP007,Monitoring,RCA0001
INC0002,2026-04-14T06:10:00,CW-201,Separator Cooling Water System,12,Cooling water instability,Separator Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed condenser cooling water inlet temp random variation pattern similar to TEP fault 12.,High,135,EMP008,EMP007,Resolved,RCA0002
INC0003,2026-04-02T09:30:00,F-101,A Feed System,6,Feed interruption,A Feed System issue: feed flow dropped suddenly and reactor feed rate became unstable. Operator observed a feed loss pattern similar to TEP fault 6.,Medium,25,EMP004,EMP008,Resolved,RCA0003
INC0004,2026-03-29T05:15:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Low,24,EMP001,EMP003,Resolved,RCA0004
INC0005,2026-05-29T19:30:00,CW-101,Reactor Cooling Water System,4,Cooling performance issue,Reactor Cooling Water System issue: temperature started rising and reactor pressure increased. Operator observed reactor cooling water inlet temp step pattern similar to TEP fault 4.,Medium,22,EMP003,EMP005,Resolved,RCA0005
INC0006,2026-05-02T22:10:00,F-104,A+C Feed System,7,Feed pressure interruption,A+C Feed System issue: feed pressure dropped and reactor feed became unstable. Operator observed c header pressure loss pattern similar to TEP fault 7.,Medium,18,EMP006,EMP006,Resolved,RCA0006
INC0007,2026-04-26T04:30:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,Critical,200,EMP006,EMP003,Resolved,RCA0007
INC0008,2026-04-30T03:30:00,CW-101,Reactor Cooling Water System,14,Control valve stiction,Reactor Cooling Water System issue: controller output changed but process variable did not respond. Operator observed reactor cooling water valve sticking pattern similar to TEP fault 14.,Critical,194,EMP008,EMP004,Resolved,RCA0008
INC0009,2026-04-07T17:20:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,Medium,42,EMP006,EMP004,Resolved,RCA0009
INC0010,2026-01-27T18:10:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Medium,82,EMP004,EMP008,Resolved,RCA0010
INC0011,2026-04-17T04:30:00,CW-101,Reactor Cooling Water System,14,Control valve stiction,Reactor Cooling Water System issue: controller output changed but process variable did not respond. Operator observed reactor cooling water valve sticking pattern similar to TEP fault 14.,Medium,90,EMP003,EMP006,Resolved,RCA0011
INC0012,2026-02-26T18:00:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Medium,23,EMP005,EMP004,Resolved,RCA0012
INC0013,2026-04-26T20:30:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,Critical,164,EMP001,EMP005,Resolved,RCA0013
INC0014,2026-03-21T12:00:00,V-301,Product Separator,17,Unknown process disturbance,Product Separator issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 17.,High,80,EMP002,EMP006,Resolved,RCA0014
INC0015,2026-05-27T11:45:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,High,35,EMP005,EMP006,Resolved,RCA0015
INC0016,2026-02-13T07:45:00,CW-101,Reactor Cooling Water System,14,Control valve stiction,Reactor Cooling Water System issue: controller output changed but process variable did not respond. Operator observed reactor cooling water valve sticking pattern similar to TEP fault 14.,Low,28,EMP001,EMP008,Resolved,RCA0016
INC0017,2026-02-23T11:20:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,High,119,EMP004,EMP003,Resolved,RCA0017
INC0018,2026-02-16T01:10:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,Critical,173,EMP002,EMP005,Resolved,RCA0018
INC0019,2026-04-24T13:20:00,F-104,A+C Feed System,10,Feed temperature drift,A+C Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed c feed temperature random variation pattern similar to TEP fault 10.,Medium,23,EMP006,EMP005,Resolved,RCA0019
INC0020,2026-02-18T18:15:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,High,87,EMP006,EMP004,Resolved,RCA0020
INC0021,2026-04-23T23:00:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,Medium,49,EMP001,EMP006,Resolved,RCA0021
