work_order_id,incident_id,machine_id,maintenance_type,action_taken,part_used,cost_inr,owner_employee_id,completion_time,status
WO0001,INC0001,CW-101,Inspection,"check cooling water valve, verify exchanger fouling, increase cooling flow",Positioner,29769.97,EMP007,2026-01-05T13:21:00,Monitoring
WO0002,INC0002,CW-201,Inspection,check utility header pressure and valve response trend,Positioner,4525.65,EMP007,2026-04-14T08:25:00,Resolved
WO0003,INC0003,F-101,Calibration,"check feed valve, pump status, upstream pressure and interlocks",No part,10677.75,EMP008,2026-04-02T09:55:00,Resolved
WO0004,INC0004,CW-201,Calibration,check condenser cooling water valve and outlet temperature,Pump seal,38943.92,EMP003,2026-03-29T05:39:00,Resolved
WO0005,INC0005,CW-101,Inspection,"check cooling water valve, verify exchanger fouling, increase cooling flow",No part,11977.91,EMP005,2026-05-29T19:52:00,Resolved
WO0006,INC0006,F-104,Inspection,"check header pressure, feed valve, and upstream compressor/pump status",Pump seal,11079.46,EMP006,2026-05-02T22:28:00,Resolved
WO0007,INC0007,F-101,Control tuning,check feed sample analysis and adjust recipe/control setpoints,Pump seal,5759.03,EMP003,2026-04-26T07:50:00,Resolved
WO0008,INC0008,CW-101,Control tuning,"inspect valve positioner, stroke test valve, switch to manual if approved",Pump seal,41493.34,EMP004,2026-04-30T06:44:00,Resolved
WO0009,INC0009,K-501,Corrective,compare trend with similar RCA cases and escalate if safety limits approach,No part,24887.1,EMP004,2026-04-07T18:02:00,Resolved
WO0010,INC0010,T-401,Calibration,compare trend with similar RCA cases and escalate if safety limits approach,No part,1654.24,EMP008,2026-01-27T19:32:00,Resolved
WO0011,INC0011,CW-101,Corrective,"inspect valve positioner, stroke test valve, switch to manual if approved",Temperature sensor,11175.87,EMP006,2026-04-17T06:00:00,Resolved
WO0012,INC0012,T-401,Control tuning,compare trend with similar RCA cases and escalate if safety limits approach,Pump seal,44314.26,EMP004,2026-02-26T18:23:00,Resolved
WO0013,INC0013,R-101,Inspection,"verify reactor temperature, catalyst condition, feed quality",Positioner,5188.61,EMP005,2026-04-26T23:14:00,Resolved
WO0014,INC0014,V-301,Control tuning,compare trend with similar RCA cases and escalate if safety limits approach,Control valve kit,33849.01,EMP006,2026-03-21T13:20:00,Resolved
WO0015,INC0015,F-104,Corrective,verify A+C feed valve and compare feed composition trend,Temperature sensor,16121.64,EMP006,2026-05-27T12:20:00,Resolved
WO0016,INC0016,CW-101,Corrective,"inspect valve positioner, stroke test valve, switch to manual if approved",Pump seal,8128.63,EMP008,2026-02-13T08:13:00,Resolved
WO0017,INC0017,F-104,Corrective,verify A+C feed valve and compare feed composition trend,Pressure transmitter,24674.42,EMP003,2026-02-23T13:19:00,Resolved
WO0018,INC0018,K-501,Control tuning,compare trend with similar RCA cases and escalate if safety limits approach,Pressure transmitter,9410.03,EMP005,2026-02-16T04:03:00,Resolved
WO0019,INC0019,F-104,Inspection,check heat tracing / upstream cooler and validate temperature sensor,Control valve kit,10912.73,EMP005,2026-04-24T13:43:00,Resolved
WO0020,INC0020,K-501,Corrective,compare trend with similar RCA cases and escalate if safety limits approach,Control valve kit,7990.09,EMP004,2026-02-18T19:42:00,Resolved
WO0021,INC0021,F-102,Corrective,check heat tracing / upstream cooler and validate temperature sensor,Positioner,11653.94,EMP006,2026-04-23T23:49:00,Resolved
WO0022,INC0022,F-104,Calibration,check heat tracing / upstream cooler and validate temperature sensor,No part,5472.72,EMP008,2026-03-17T05:43:00,Resolved
WO0023,INC0023,F-101,Corrective,"check feed valve, pump status, upstream pressure and interlocks",Control valve kit,24052.11,EMP006,2026-02-26T13:35:00,Resolved
WO0024,INC0024,T-401,Control tuning,compare trend with similar RCA cases and escalate if safety limits approach,Temperature sensor,44140.64,EMP006,2026-03-11T22:43:00,Resolved
WO0025,INC0025,F-104,Calibration,"check header pressure, feed valve, and upstream compressor/pump status",No part,39527.28,EMP005,2026-04-30T07:44:00,Resolved
WO0026,INC0026,T-401,Calibration,compare trend with similar RCA cases and escalate if safety limits approach,No part,3500.61,EMP004,2026-01-07T10:22:00,Resolved
WO0027,INC0027,CW-101,Corrective,"inspect valve positioner, stroke test valve, switch to manual if approved",Pump seal,33914.99,EMP003,2026-04-29T02:14:00,Resolved
WO0028,INC0028,CW-201,Calibration,"inspect valve positioner, stroke test valve, switch to manual if approved",Control valve kit,12678.2,EMP003,2026-01-07T00:35:00,Resolved
WO0029,INC0029,R-101,Calibration,"verify reactor temperature, catalyst condition, feed quality",Pump seal,11129.47,EMP007,2026-01-03T16:09:00,Resolved
