incident_id,timestamp,machine_id,tep_tag,phase,synthetic_value,z_score_vs_normal,status
INC0001,2026-01-05T12:15:00,CW-101,XMEAS(21),before,39.473,-0.102,normal
INC0001,2026-01-05T12:30:00,CW-101,XMEAS(21),during,73.117,3.578,abnormal
INC0001,2026-01-05T12:45:00,CW-101,XMEAS(21),after,49.583,-0.681,normal
INC0001,2026-01-05T12:15:00,CW-101,XMV(10),before,35.072,-0.444,normal
INC0001,2026-01-05T12:30:00,CW-101,XMV(10),during,27.155,3.398,abnormal
INC0001,2026-01-05T12:45:00,CW-101,XMV(10),after,45.129,-0.24,normal
INC0002,2026-04-14T05:55:00,CW-201,XMEAS(22),before,79.872,0.97,normal
INC0002,2026-04-14T06:10:00,CW-201,XMEAS(22),during,46.609,3.573,abnormal
INC0002,2026-04-14T06:25:00,CW-201,XMEAS(22),after,78.388,-0.093,normal
INC0002,2026-04-14T05:55:00,CW-201,XMV(11),before,44.869,-0.675,normal
INC0002,2026-04-14T06:10:00,CW-201,XMV(11),during,69.127,3.239,abnormal
INC0002,2026-04-14T06:25:00,CW-201,XMV(11),after,24.998,0.367,normal
INC0003,2026-04-02T09:15:00,F-101,XMEAS(1),before,47.694,0.311,normal
INC0003,2026-04-02T09:30:00,F-101,XMEAS(1),during,52.12,3.655,abnormal
INC0003,2026-04-02T09:45:00,F-101,XMEAS(1),after,37.264,-0.47,normal
INC0003,2026-04-02T09:15:00,F-101,XMV(3),before,38.392,0.123,normal
INC0003,2026-04-02T09:30:00,F-101,XMV(3),during,82.848,3.094,abnormal
INC0003,2026-04-02T09:45:00,F-101,XMV(3),after,35.352,-0.201,normal
INC0004,2026-03-29T05:00:00,CW-201,XMEAS(22),before,57.588,0.363,normal
INC0004,2026-03-29T05:15:00,CW-201,XMEAS(22),during,64.867,2.554,abnormal
INC0004,2026-03-29T05:30:00,CW-201,XMEAS(22),after,50.434,-0.777,normal
INC0004,2026-03-29T05:00:00,CW-201,XMV(11),before,86.767,-0.093,normal
INC0004,2026-03-29T05:15:00,CW-201,XMV(11),during,38.437,3.589,abnormal
INC0004,2026-03-29T05:30:00,CW-201,XMV(11),after,32.506,0.001,normal
INC0005,2026-05-29T19:15:00,CW-101,XMEAS(21),before,77.122,0.464,normal
INC0005,2026-05-29T19:30:00,CW-101,XMEAS(21),during,57.289,3.763,abnormal
INC0005,2026-05-29T19:45:00,CW-101,XMEAS(21),after,66.183,-0.748,normal
INC0005,2026-05-29T19:15:00,CW-101,XMV(10),before,31.559,0.894,normal
INC0005,2026-05-29T19:30:00,CW-101,XMV(10),during,62.462,2.997,abnormal
INC0005,2026-05-29T19:45:00,CW-101,XMV(10),after,85.024,0.929,normal
INC0006,2026-05-02T21:55:00,F-104,XMEAS(4),before,83.379,-0.542,normal
INC0006,2026-05-02T22:10:00,F-104,XMEAS(4),during,24.96,3.561,abnormal
INC0006,2026-05-02T22:25:00,F-104,XMEAS(4),after,66.828,-0.524,normal
INC0006,2026-05-02T21:55:00,F-104,XMEAS(6),before,29.262,-0.572,normal
INC0006,2026-05-02T22:10:00,F-104,XMEAS(6),during,59.973,3.69,abnormal
INC0006,2026-05-02T22:25:00,F-104,XMEAS(6),after,74.923,-0.055,normal
INC0006,2026-05-02T21:55:00,F-104,XMV(4),before,33.329,0.615,normal
INC0006,2026-05-02T22:10:00,F-104,XMV(4),during,50.174,2.265,abnormal
INC0006,2026-05-02T22:25:00,F-104,XMV(4),after,52.692,-0.153,normal
INC0007,2026-04-26T04:15:00,F-101,XMEAS(1),before,79.409,0.853,normal
INC0007,2026-04-26T04:30:00,F-101,XMEAS(1),during,53.995,2.383,abnormal
INC0007,2026-04-26T04:45:00,F-101,XMEAS(1),after,48.073,-0.573,normal
INC0007,2026-04-26T04:15:00,F-101,XMV(3),before,46.528,-0.883,normal
INC0007,2026-04-26T04:30:00,F-101,XMV(3),during,38.564,3.775,abnormal
INC0007,2026-04-26T04:45:00,F-101,XMV(3),after,51.851,0.568,normal
INC0008,2026-04-30T03:15:00,CW-101,XMEAS(21),before,25.608,0.922,normal
INC0008,2026-04-30T03:30:00,CW-101,XMEAS(21),during,61.652,2.416,abnormal
INC0008,2026-04-30T03:45:00,CW-101,XMEAS(21),after,36.464,0.35,normal
INC0008,2026-04-30T03:15:00,CW-101,XMV(10),before,82.32,-0.76,normal
INC0008,2026-04-30T03:30:00,CW-101,XMV(10),during,61.616,2.519,abnormal
INC0008,2026-04-30T03:45:00,CW-101,XMV(10),after,49.346,0.239,normal
INC0009,2026-04-07T17:05:00,K-501,XMEAS(5),before,44.431,-0.735,normal
INC0009,2026-04-07T17:20:00,K-501,XMEAS(5),during,37.1,2.217,abnormal
INC0009,2026-04-07T17:35:00,K-501,XMEAS(5),after,50.673,-0.43,normal
INC0009,2026-04-07T17:05:00,K-501,XMEAS(20),before,41.176,0.086,normal
INC0009,2026-04-07T17:20:00,K-501,XMEAS(20),during,76.497,3.773,abnormal
INC0009,2026-04-07T17:35:00,K-501,XMEAS(20),after,66.75,0.058,normal
INC0009,2026-04-07T17:05:00,K-501,XMV(5),before,85.223,0.109,normal
INC0009,2026-04-07T17:20:00,K-501,XMV(5),during,81.469,2.276,abnormal
INC0009,2026-04-07T17:35:00,K-501,XMV(5),after,82.28,-0.471,normal
INC0010,2026-01-27T17:55:00,T-401,XMEAS(15),before,38.337,0.274,normal
INC0010,2026-01-27T18:10:00,T-401,XMEAS(15),during,58.618,3.36,abnormal
INC0010,2026-01-27T18:25:00,T-401,XMEAS(15),after,20.677,-0.145,normal
